PA0030 	pp6382 		pp6382		ABC 	binding 	654 	choline 		3.A.1 		X
PA5472 	pp6382 		pp6382		ABC 	binding protein 	1009 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA5498 	pp6382 		pp6382		ABC 	binding 	1010 	zinc 		3.A.1 		X
PA5500 	pp6382 		pp6382		ABC 	binding 	1011 	molybdate 		3.A.1 		X
PA5501 	pp6382 		pp6382		ABC 	membrane 	1012 	manganese/zinc ion 		3.A.1 		X
PA5503 	pp6382 		pp6382		ABC 	binding 	1013 	D-methionine 		3.A.1 		X
PA5504 	pp6382 		pp6382		ABC 	membrane 	1014 	D-methionine 		3.A.1 		X
PA5505 	pp6382 		pp6382		ABC 	binding 	1015 	methionine 		3.A.1 		X
PA5545 	pp6382 		pp6382		ABC 	binding 	1016 	phosphonates 		3.A.1 		X
PA0188 	pp6382 		pp6382		AEC 		541 	unknown substrate 		2.A.69 		X
PA1735 	pp6382 		pp6382		AEC 		542 	unknown substrate 		2.A.69 		X
PA5466 	pp6382 		pp6382		AEC 		543 	unknown substrate 		2.A.69 		X
PA2252 	pp6382 		pp6382		AGCS 		323 	sodium ion:alanine symporter 		2.A.25 		X
PA2533 	pp6382 		pp6382		AGCS 		324 	sodium ion:alanine symporter 		2.A.25 		X
PA3641 	pp6382 		pp6382		AGCS 		325 	sodium ion:alanine symporter 		2.A.25 		X
PA1007 	pp6382 		pp6382		AI-2E 		628 	Autoinducer-2 export 		2.A.86 		X
PA1625 	pp6382 		pp6382		AI-2E 		629 	Autoinducer-2 export 		2.A.86 		X
PA2651 	pp6382 		pp6382		AI-2E 		630 	Autoinducer-2 export 		2.A.86 		X
PA3039 	pp6382 		pp6382		Amt 		19 	ammonium 		1.A.11 		X
PA3494 	pp6382 		pp6382		Amt 		1328 	ammonium 		1.A.11 		X
PA5287 	pp6382 		pp6382		Amt 		21 	ammonium 		1.A.11 		X
PA0129 	pp6382 		pp6382		APC 		332 	GABA 		2.A.3 		X
PA0220 	pp6382 		pp6382		APC 		333 	amino acid 		2.A.3 		X
PA0322 	pp6382 		pp6382		APC 		334 	amino acid 		2.A.3 		X
PA0789 	pp6382 		pp6382		APC 		335 	GABA 		2.A.3 		X
PA0866 	pp6382 		pp6382		APC 		336 	amino acid 		2.A.3 		X
PA1147 	pp6382 		pp6382		APC 		337 	amino acid 		2.A.3 		X
PA1194 	pp6382 		pp6382		APC 		338 	arginine:ornithine antiporter 		2.A.3 		X
PA1485 	pp6382 		pp6382		APC 		339 	amino acid 		2.A.3 		X
PA1819 	pp6382 		pp6382		APC 		340 	arginine:ornithine antiporter 		2.A.3 		X
PA2041 	pp6382 		pp6382		APC 		341 	amino acid 		2.A.3 		X
PA2079 	pp6382 		pp6382		APC 		342 	GABA 		2.A.3 		X
PA3000 	pp6382 		pp6382		APC 		343 	amino acid 		2.A.3 		X
PA3597 	pp6382 		pp6382		APC 		344 	amino acid 		2.A.3 		X
PA4023 	pp6382 		pp6382		APC 		346 	ethanolamine 		2.A.3 		X
PA4072 	pp6382 		pp6382		APC 		347 	amino acid 		2.A.3 		X
PA4628 	pp6382 		pp6382		APC 		349 	amino acid 		2.A.3 		X
PA4804 	pp6382 		pp6382		APC 		350 	amino acid 		2.A.3 		X
PA4981 	pp6382 		pp6382		APC 		351 	amino acid 		2.A.3 		X
PA5097 	pp6382 		pp6382		APC 		352 	GABA 		2.A.3 		X
PA5170 	pp6382 		pp6382		APC 		353 	arginine:ornithine antiporter 		2.A.3 		X
PA5510 	pp6382 		pp6382		APC 		354 	amino acid 		2.A.3 		X
PA0454 	pp6382 		pp6382		ArAE 		618 	fusaric acid efflux 		2.A.85 		X
PA0875 	pp6382 		pp6382		ArAE 		619 	fusaric acid efflux 		2.A.85 		X
PA1232 	pp6382 		pp6382		ArAE 		620 	fusaric acid efflux 		2.A.85 		X
PA1270 	pp6382 		pp6382		ArAE 		621 	fusaric acid efflux 		2.A.85 		X
PA2431 	pp6382 		pp6382		ArAE 		622 	fusaric acid efflux 		2.A.85 		X
PA3065 	pp6382 		pp6382		ArAE 		623 	fusaric acid efflux 		2.A.85 		X
PA3305 	pp6382 		pp6382		ArAE 		624 	fusaric acid efflux 		2.A.85 		X
PA3359 	pp6382 		pp6382		ArAE 		625 	fusaric acid efflux 		2.A.85 		X
PA3893 	pp6382 		pp6382		ArAE 		626 	fusaric acid efflux 		2.A.85 		X
PA2278 	pp6382 		pp6382		ArsB 		407 	arsenite (ArsB) 		2.A.45 		X
PA2002 	pp6382 		pp6382		AtoE 		582 	short-chain fatty acid 		2.A.73 		X
PA1650 	pp6382 		pp6382		BASS 		329 	sodium ion/ 		2.A.28 		X
PA2026 	pp6382 		pp6382		BASS 		633 	sodium ion/ 		2.A.28 		X
PA3264 	pp6382 		pp6382		BASS 		331 	sodium ion/ 		2.A.28 		X
PA3933 	pp6382 		pp6382		BCCT 		244 	glycine betaine/carnitine/choline 		2.A.15 		X
PA5291 	pp6382 		pp6382		BCCT 		245 	glycine betaine/carnitine/choline 		2.A.15 		X
PA5375 	pp6382 		pp6382		BCCT 		246 	glycine betaine/carnitine/choline 		2.A.15 		X
PA1651 	pp6382 		pp6382		BenE 		409 	benzoate 		2.A.46 		X
PA0397 	pp6382 		pp6382		CDF 		393 	cation efflux 		2.A.4 		X
PA1297 	pp6382 		pp6382		CDF 		394 	cation efflux 		2.A.4 		X
PA3963 	pp6382 		pp6382		CDF 		395 	cation efflux 		2.A.4 		X
PA4289 	pp6382 		pp6382		CHR 		416 	chromate ion 		2.A.51 		X
PA5468 	pp6382 		pp6382		CitMHS 		240 	proton:citrate symporter 		2.A.11 		X
PA2135 	pp6382 		pp6382		CPA1 		361 	sodium ion:proton antiporter 		2.A.36 		X
PA3660 	pp6382 		pp6382		CPA1 		362 	sodium ion:proton antiporter 		2.A.36 		X
PA3887 	pp6382 		pp6382		CPA1 		364 	sodium ion:proton antiporter 		2.A.36 		X
PA5021 	pp6382 		pp6382		CPA1 		365 	sodium ion:proton antiporter 		2.A.36 		X
PA1207 	pp6382 		pp6382		CPA2 		366 	potassium/sodium ion:proton antiporter 		2.A.37 		X
PA3739 	pp6382 		pp6382		CPA2 		363 	potassium/sodium ion:proton antiporter 		2.A.37 		X
PA5518 	pp6382 		pp6382		CPA2 		374 	potassium/sodium ion:proton antiporter 		2.A.37 		X
PA5529 	pp6382 		pp6382		CPA2 		375 	potassium/sodium ion:proton antiporter 		2.A.37 		X
PA1054 	pp6382 		pp6382		CPA3 	MnhA 	1244 	multicomponent sodium ion:proton antiporter 		2.A.63 		X
PA1055 	pp6382 		pp6382		CPA3 	MnhC 	519 	multicomponent sodium ion:proton antiporter 		2.A.63 		X
PA1056 	pp6382 		pp6382		CPA3 	MnhD 	1246 	multicomponent sodium ion:proton antiporter 		2.A.63 		X
PA1057 	pp6382 		pp6382		CPA3 	MnhE 	521 	multicomponent sodium ion:proton antiporter 		2.A.63 		X
PA1058 	pp6382 		pp6382		CPA3 	MnhF 	522 	multicomponent sodium ion:proton antiporter 		2.A.63 		X
PA1059 	pp6382 		pp6382		CPA3 	MnhG 	523 	multicomponent sodium ion:proton antiporter 		2.A.63 		X
PA2647 	pp6382 		pp6382		CPA3 	MnhA 	1265 	multicomponent sodium ion:proton antiporter 		2.A.63 		X
PA0119 	pp6382 		pp6382		DAACS 		319 	proton/sodium ion:glutamate/aspartate symporter 		2.A.23 		X
PA1183 	pp6382 		pp6382		DAACS 		320 	proton/sodium ion:glutamate/aspartate symporter 		2.A.23 		X
PA2042 	pp6382 		pp6382		DAACS 		321 	sodium ion:serine/threonine symporter 		2.A.23 		X
PA5479 	pp6382 		pp6382		DAACS 		322 	proton/sodium ion:glutamate/aspartate symporter 		2.A.23 		X
PA3839 	pp6382 		pp6382		DASS 		410 	sodium ion:dicarboxylate/sulfate 		2.A.47 		X
PA0239 	pp6382 		pp6382		DMT 	DME 	544 	drug/metabolite 		2.A.7 		X
PA0485 	pp6382 		pp6382		DMT 		545 	drug/metabolite 		2.A.7 		X
PA0539 	pp6382 		pp6382		DMT 		546 	drug/metabolite 		2.A.7 		X
PA0786 	pp6382 		pp6382		DMT 	SMR 	547 	multidrug efflux (SMR) 		2.A.7 		X
PA1060 	pp6382 		pp6382		DMT 	DME 	548 	drug/metabolite 		2.A.7 		X
PA1265 	pp6382 		pp6382		DMT 		549 	drug/metabolite 		2.A.7 		X
PA1360 	pp6382 		pp6382		DMT 	DME 	550 	drug/metabolite 		2.A.7 		X
PA1411 	pp6382 		pp6382		DMT 		551 	drug/metabolite 		2.A.7 		X
PA1540 	pp6382 		pp6382		DMT 	SMR 	552 	multidrug efflux (SMR) 		2.A.7 		X
PA1541 	pp6382 		pp6382		DMT 	SMR 	553 	multidrug efflux (SMR) 		2.A.7 		X
PA1882 	pp6382 		pp6382		DMT 	SMR 	554 	multidrug efflux (SMR) 		2.A.7 		X
PA1977 	pp6382 		pp6382		DMT 	DME 	555 	drug/metabolite 		2.A.7 		X
PA2101 	pp6382 		pp6382		DMT 		556 	drug/metabolite 		2.A.7 		X
PA2576 	pp6382 		pp6382		DMT 	DME 	557 	drug/metabolite 		2.A.7 		X
PA2628 	pp6382 		pp6382		DMT 		558 	drug/metabolite 		2.A.7 		X
PA2712 	pp6382 		pp6382		DMT 		559 	drug/metabolite 		2.A.7 		X
PA3222 	pp6382 		pp6382		DMT 		560 	drug/metabolite 		2.A.7 		X
PA3265 	pp6382 		pp6382		DMT 	SMR 	561 	multidrug efflux (SMR) 		2.A.7 		X
PA3320 	pp6382 		pp6382		DMT 		562 	drug/metabolite 		2.A.7 		X
PA3358 	pp6382 		pp6382		DMT 		563 	drug/metabolite 		2.A.7 		X
PA3473 	pp6382 		pp6382		DMT 		564 	drug/metabolite 		2.A.7 		X
PA3474 	pp6382 		pp6382		DMT 		565 	drug/metabolite 		2.A.7 		X
PA3557 	pp6382 		pp6382		DMT 	SMR 	566 	multidrug/quaternary ammonium compound efflux (SMR subfamily) 		2.A.7 		X
PA3558 	pp6382 		pp6382		DMT 	SMR 	567 	multidrug efflux (SMR) 		2.A.7 		X
PA3605 	pp6382 		pp6382		DMT 	DME 	568 	drug/metabolite 		2.A.7 		X
PA3897 	pp6382 		pp6382		DMT 	DME 	569 	drug/metabolite 		2.A.7 		X
PA4287 	pp6382 		pp6382		DMT 	DME 	570 	drug/metabolite 		2.A.7 		X
PA4779 	pp6382 		pp6382		DMT 	RarD 	571 	chloramphenicol (RarD homolog) 		2.A.7 		X
PA4783 	pp6382 		pp6382		DMT 	DME 	572 	drug/metabolite 		2.A.7 		X
PA4815 	pp6382 		pp6382		DMT 		573 	drug/metabolite 		2.A.7 		X
PA4834 	pp6382 		pp6382		DMT 	DME 	574 	drug/metabolite 		2.A.7 		X
PA4990 	pp6382 		pp6382		DMT 	SMR 	575 	multidrug efflux (SMR) 		2.A.7 		X
PA5444 	pp6382 		pp6382		DMT 		577 	drug/metabolite 		2.A.7 		X
PA2984 	pp6382 		pp6382		DNA-T 		1028 	unknown substrate 		3.A.11 		X
PA3140 	pp6382 		pp6382		DNA-T 		1033 	unknown substrate 		3.A.11 		X
PA3176 	pp6382 		pp6382		ESS 		328 	sodium ion:glutamate symporter 		2.A.27 		X
PA4404 	pp6382 		pp6382		EVE1-C 		71 	unknown substrate 		1.A.34 		X
PA5553 	pp6382 		pp6382		F-ATPase 		1103 	protons 		3.A.2 		X
PA5554 	pp6382 		pp6382		F-ATPase 		1104 	protons 		3.A.2 		X
PA5555 	pp6382 		pp6382		F-ATPase 		1105 	protons 		3.A.2 		X
PA5556 	pp6382 		pp6382		F-ATPase 		1106 	protons 		3.A.2 		X
PA5557 	pp6382 		pp6382		F-ATPase 		1107 	protons 		3.A.2 		X
PA5558 	pp6382 		pp6382		F-ATPase 		1108 	protons 		3.A.2 		X
PA5559 	pp6382 		pp6382		F-ATPase 		1109 	protons 		3.A.2 		X
PA5560 	pp6382 		pp6382		F-ATPase 		1110 	protons 		3.A.2 		X
PA5561 	pp6382 		pp6382		F-ATPase 		1111 	protons 		3.A.2 		X
PA4358 	pp6382 		pp6382		FeoB 		1567 	ferrous ion 		9.A.8 		X
PA2187 	pp6382 		pp6382		FeT 		1576 	unknown substrate 		9.A.9 		X
PA2777 	pp6382 		pp6382		FNT 		406 	formate/nitrite 		2.A.44 		X
PA1051 	pp6382 		pp6382		GntP 		610 	gluconate 		2.A.8 		X
PA2322 	pp6382 		pp6382		GntP 		611 	gluconate 		2.A.8 		X
PA0337 	pp6382 		pp6382		GPTS 	EnzymeI 	1493 	unknown substrate 		4.A 		X
PA3562 	pp6382 		pp6382		GPTS 	EnzymeI 	1367 	unknown substrate 		4.A 		X
PA3760 	pp6382 		pp6382		GPTS 	EnzymeI 	1362 	unknown substrate 		4.A 		X
PA4466 	pp6382 		pp6382		GPTS 	HPr 	1497 	unknown substrate 		4.A 		X
PA3548 	pp6382 		pp6382		GUP 		415 	glycerol:proton symporter 		2.A.50 		X
PA1916 	pp6382 		pp6382		HAAAP 		403 	tryptophan/tyrosine 		2.A.42 		X
PA3766 	pp6382 		pp6382		HAAAP 		253 	tryptophan/tyrosine 		2.A.42 		X
PA5434 	pp6382 		pp6382		HAAAP 		405 	aromatic amino acid 		2.A.42 		X
PA3748 	pp6382 		pp6382		HCC 		1549 	heavy metal ion 		9.A.40 		X
PA5362 	pp6382 		pp6382		HCC 		1551 	hemolysin C (HlyC) homolog 		9.A.40 		X
PA1101 	pp6382 		pp6382		IIISP 		1140 	unknown substrate 		3.A.6 		X
PA1446 	pp6382 		pp6382		IIISP 		1146 	unknown substrate 		3.A.6 		X
PA1447 	pp6382 		pp6382		IIISP 		1147 	unknown substrate 		3.A.6 		X
PA1448 	pp6382 		pp6382		IIISP 		1148 	unknown substrate 		3.A.6 		X
PA1449 	pp6382 		pp6382		IIISP 		1149 	unknown substrate 		3.A.6 		X
PA1452 	pp6382 		pp6382		IIISP 		1150 	unknown substrate 		3.A.6 		X
PA1690 	pp6382 		pp6382		IIISP 		1151 	unknown substrate 		3.A.6 		X
PA1691 	pp6382 		pp6382		IIISP 		1152 	unknown substrate 		3.A.6 		X
PA1692 	pp6382 		pp6382		IIISP 		1153 	unknown substrate 		3.A.6 		X
PA1693 	pp6382 		pp6382		IIISP 		1154 	unknown substrate 		3.A.6 		X
PA1703 	pp6382 		pp6382		IIISP 		1159 	unknown substrate 		3.A.6 		X
PA1717 	pp6382 		pp6382		IIISP 		1162 	unknown substrate 		3.A.6 		X
PA1723 	pp6382 		pp6382		IIISP 		1167 	unknown substrate 		3.A.6 		X
PA5248 	pp6382 		pp6382		ILT 		1526 	iron ion 		9.A.10 		X
PA0768 	pp6382 		pp6382		IVSP 		1183 	unknown substrate 		3.A.7 		X
PA0917 	pp6382 		pp6382		KUP 		581 	potassium ion uptake 		2.A.72 		X
PA4770 	pp6382 		pp6382		LctP 		243 	L-lactate 		2.A.14 		X
PA2039 	pp6382 		pp6382		LIV-E 	AzlC 	608 	branched-chain amino acid efflux (AzlC) 		2.A.78 		X
PA1590 	pp6382 		pp6382		LIVCS 		326 	branched-chain amino acid 		2.A.26 		X
PA1971 	pp6382 		pp6382		LIVCS 		327 	branched-chain amino acid 		2.A.26 		X
PA4365 	pp6382 		pp6382		LysE 		590 	lysine efflux 		2.A.75 		X
PA0229 	pp6382 		pp6382		MFS 		108 	multidrug efflux 		2.A.1 		X
PA0235 	pp6382 		pp6382		MFS 		109 	metabolite (benzoate) 		2.A.1 		X
PA0241 	pp6382 		pp6382		MFS 		110 	D-galactonate 		2.A.1 		X
PA0246 	pp6382 		pp6382		MFS 		111 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA0273 	pp6382 		pp6382		MFS 		112 	cyanate 		2.A.1 		X
PA0334 	pp6382 		pp6382		MFS 		113 	multidrug efflux 		2.A.1 		X
PA0458 	pp6382 		pp6382		MFS 		114 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA0703 	pp6382 		pp6382		MFS 		115 	multidrug efflux 		2.A.1 		X
PA0811 	pp6382 		pp6382		MFS 		116 	multidrug efflux 		2.A.1 		X
PA0920 	pp6382 		pp6382		MFS 		118 	multidrug efflux 		2.A.1 		X
PA1019 	pp6382 		pp6382		MFS 		120 	metabolite (benzoate) 		2.A.1 		X
PA1108 	pp6382 		pp6382		MFS 		121 	multidrug efflux 		2.A.1 		X
PA1131 	pp6382 		pp6382		MFS 		122 	multidrug efflux 		2.A.1 		X
PA1144 	pp6382 		pp6382		MFS 		123 	multidrug efflux 		2.A.1 		X
PA1212 	pp6382 		pp6382		MFS 		124 	sugar 		2.A.1 		X
PA1236 	pp6382 		pp6382		MFS 		127 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA1262 	pp6382 		pp6382		MFS 		129 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA1282 	pp6382 		pp6382		MFS 		130 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA1286 	pp6382 		pp6382		MFS 		131 	multidrug efflux 		2.A.1 		X
PA1313 	pp6382 		pp6382		MFS 		132 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA1316 	pp6382 		pp6382		MFS 		133 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA1352 	pp6382 		pp6382		MFS 		134 	multidrug efflux 		2.A.1 		X
PA1412 	pp6382 		pp6382		MFS 		135 	multidrug efflux 		2.A.1 		X
PA1569 	pp6382 		pp6382		MFS 		137 	multidrug efflux 		2.A.1 		X
PA1626 	pp6382 		pp6382		MFS 		139 	cyanate 		2.A.1 		X
PA1682 	pp6382 		pp6382		MFS 		140 	multidrug efflux 		2.A.1 		X
PA1783 	pp6382 		pp6382		MFS 		141 	nitrate 		2.A.1 		X
PA1848 	pp6382 		pp6382		MFS 		142 	multidrug efflux 		2.A.1 		X
PA1908 	pp6382 		pp6382		MFS 		143 	multidrug efflux 		2.A.1 		X
PA1993 	pp6382 		pp6382		MFS 		144 	multidrug efflux 		2.A.1 		X
PA2006 	pp6382 		pp6382		MFS 		145 	metabolite (benzoate) 		2.A.1 		X
PA2055 	pp6382 		pp6382		MFS 		146 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA2068 	pp6382 		pp6382		MFS 		147 	multidrug efflux 		2.A.1 		X
PA2091 	pp6382 		pp6382		MFS 		148 	multidrug efflux 		2.A.1 		X
PA2092 	pp6382 		pp6382		MFS 		149 	multidrug efflux 		2.A.1 		X
PA2114 	pp6382 		pp6382		MFS 		150 	metabolite (benzoate) 		2.A.1 		X
PA2210 	pp6382 		pp6382		MFS 		152 	D-galactonate 		2.A.1 		X
PA2214 	pp6382 		pp6382		MFS 		153 	D-galactonate 		2.A.1 		X
PA2219 	pp6382 		pp6382		MFS 		154 	multidrug efflux 		2.A.1 		X
PA2262 	pp6382 		pp6382		MFS 		155 	D-galactonate 		2.A.1 		X
PA2269 	pp6382 		pp6382		MFS 		156 	glycerol-3-phosphate 		2.A.1 		X
PA2314 	pp6382 		pp6382		MFS 		158 	multidrug efflux 		2.A.1 		X
PA2472 	pp6382 		pp6382		MFS 		164 	metabolite (benzoate) 		2.A.1 		X
PA2500 	pp6382 		pp6382		MFS 		165 	cyanate 		2.A.1 		X
PA2589 	pp6382 		pp6382		MFS 		168 	glycerol-3-phosphate 		2.A.1 		X
PA2701 	pp6382 		pp6382		MFS 		169 	multidrug efflux 		2.A.1 		X
PA2835 	pp6382 		pp6382		MFS 		170 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA2933 	pp6382 		pp6382		MFS 		172 	multidrug efflux 		2.A.1 		X
PA3137 	pp6382 		pp6382		MFS 		174 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA3267 	pp6382 		pp6382		MFS 		175 	multidrug efflux 		2.A.1 		X
PA3303 	pp6382 		pp6382		MFS 		178 	multidrug efflux 		2.A.1 		X
PA3336 	pp6382 		pp6382		MFS 		181 	multidrug efflux 		2.A.1 		X
PA3355 	pp6382 		pp6382		MFS 		182 	multidrug efflux 		2.A.1 		X
PA3465 	pp6382 		pp6382		MFS 		184 	multidrug efflux 		2.A.1 		X
PA3467 	pp6382 		pp6382		MFS 		185 	metabolite (benzoate) 		2.A.1 		X
PA3532 	pp6382 		pp6382		MFS 		186 	sugar efflux 		2.A.1 		X
PA3536 	pp6382 		pp6382		MFS 		187 	multidrug efflux 		2.A.1 		X
PA3573 	pp6382 		pp6382		MFS 		189 	multidrug efflux 		2.A.1 		X
PA3595 	pp6382 		pp6382		MFS 		190 	tetracycline efflux 		2.A.1 		X
PA3709 	pp6382 		pp6382		MFS 		191 	multidrug efflux 		2.A.1 		X
PA3718 	pp6382 		pp6382		MFS 		192 	multidrug efflux 		2.A.1 		X
PA3749 	pp6382 		pp6382		MFS 		193 	sugar 		2.A.1 		X
PA3773 	pp6382 		pp6382		MFS 		194 	multidrug efflux 		2.A.1 		X
PA3876 	pp6382 		pp6382		MFS 		196 	nitrate 		2.A.1 		X
PA3877 	pp6382 		pp6382		MFS 		197 	nitrate 		2.A.1 		X
PA3926 	pp6382 		pp6382		MFS 		200 	glycerol-3-phosphate 		2.A.1 		X
PA4096 	pp6382 		pp6382		MFS 		201 	multidrug efflux 		2.A.1 		X
PA4113 	pp6382 		pp6382		MFS 		202 	multidrug efflux 		2.A.1 		X
PA4126 	pp6382 		pp6382		MFS 		203 	4-hydroxyphenylacetate 		2.A.1 		X
PA4136 	pp6382 		pp6382		MFS 		204 	multidrug efflux 		2.A.1 		X
PA4187 	pp6382 		pp6382		MFS 		205 	multidrug efflux 		2.A.1 		X
PA4218 	pp6382 		pp6382		MFS 		207 	Acetyl-CoA:CoA antiporter 		2.A.1 		X
PA4233 	pp6382 		pp6382		MFS 		210 	multidrug efflux 		2.A.1 		X
PA4343 	pp6382 		pp6382		MFS 		211 	multidrug efflux 		2.A.1 		X
PA4355 	pp6382 		pp6382		MFS 		212 	multidrug efflux 		2.A.1 		X
PA4393 	pp6382 		pp6382		MFS 		213 	Acetyl-CoA:CoA antiporter 		2.A.1 		X
PA4622 	pp6382 		pp6382		MFS 		215 	multidrug efflux 		2.A.1 		X
PA4654 	pp6382 		pp6382		MFS 		216 	multidrug efflux 		2.A.1 		X
PA4887 	pp6382 		pp6382		MFS 		220 	multidrug efflux 		2.A.1 		X
PA4900 	pp6382 		pp6382		MFS 		221 	metabolite (benzoate) 		2.A.1 		X
PA4903 	pp6382 		pp6382		MFS 		222 	metabolite (benzoate) 		2.A.1 		X
PA5030 	pp6382 		pp6382		MFS 		223 	multidrug efflux 		2.A.1 		X
PA5160 	pp6382 		pp6382		MFS 		225 	multidrug efflux (EmrB/QacA subfamily) 		2.A.1 		X
PA5219 	pp6382 		pp6382		MFS 		226 	multidrug efflux 		2.A.1 		X
PA5235 	pp6382 		pp6382		MFS 		227 	glycerol-3-phosphate 		2.A.1 		X
PA5282 	pp6382 		pp6382		MFS 		228 	multidrug efflux 		2.A.1 		X
PA5311 	pp6382 		pp6382		MFS 		229 	cyanate 		2.A.1 		X
PA5370 	pp6382 		pp6382		MFS 		230 	multidrug efflux 		2.A.1 		X
PA5476 	pp6382 		pp6382		MFS 		231 	multidrug efflux 		2.A.1 		X
PA5530 	pp6382 		pp6382		MFS 		232 	multidrug efflux 		2.A.1 		X
PA5548 	pp6382 		pp6382		MFS 		233 	multidrug efflux 		2.A.1 		X
PA0913 	pp6382 		pp6382		MgtE 		1531 	magnesium ion 		9.A.19 		X
PA3581 	pp6382 		pp6382		MIP 		86 	glycerol uptake 		1.A.8 		X
PA4034 	pp6382 		pp6382		MIP 		87 	glycerol uptake 		1.A.8 		X
PA1773 	pp6382 		pp6382		MIT 		72 	magnesium/cobalt ion 		1.A.35 		X
PA1873 	pp6382 		pp6382		MIT 		73 	magnesium/cobalt ion 		1.A.35 		X
PA5268 	pp6382 		pp6382		MIT 		74 	magnesium/cobalt ion 		1.A.35 		X
PA1361 	pp6382 		pp6382		MOP 	MATE 	530 	multidrug efflux 		2.A.66 		X
PA2241 	pp6382 		pp6382		MOP 	MVF 	531 	virulence factor MviN 		2.A.66 		X
PA3058 	pp6382 		pp6382		MOP 		532 	multidrug efflux 		2.A.66 		X
PA3153 	pp6382 		pp6382		MOP 	PST 	534 	polysaccharide export 		2.A.66 		X
PA3884 	pp6382 		pp6382		MOP 		535 	multidrug efflux 		2.A.66 		X
PA4562 	pp6382 		pp6382		MOP 	MVF 	536 	virulence factor MviN 		2.A.66 		X
PA4821 	pp6382 		pp6382		MOP 	MATE 	537 	multidrug efflux 		2.A.66 		X
PA5294 	pp6382 		pp6382		MOP 	MATE 	539 	multidrug efflux 		2.A.66 		X
PA0198 	pp6382 		pp6382		Mot/Exb 		47 	unknown substrate 		1.A.30 		X
PA0199 	pp6382 		pp6382		Mot/Exb 		48 	unknown substrate 		1.A.30 		X
PA0969 	pp6382 		pp6382		Mot/Exb 		53 	unknown substrate 		1.A.30 		X
PA0970 	pp6382 		pp6382		Mot/Exb 		54 	unknown substrate 		1.A.30 		X
PA1460 	pp6382 		pp6382		Mot/Exb 		59 	unknown substrate 		1.A.30 		X
PA2983 	pp6382 		pp6382		Mot/Exb 		63 	unknown substrate 		1.A.30 		X
PA4954 	pp6382 		pp6382		Mot/Exb 		67 	unknown substrate 		1.A.30 		X
PA4614 	pp6382 		pp6382		MscL 		35 	large-conductance mechanosensitive ion channel 		1.A.22 		X
PA1408 	pp6382 		pp6382		MscS 		36 	small-conductance mechanosensitive ion channel 		1.A.23 		X
PA1775 	pp6382 		pp6382		MscS 		37 	small-conductance mechanosensitive ion channel 		1.A.23 		X
PA3468 	pp6382 		pp6382		MscS 		38 	small-conductance mechanosensitive ion channel 		1.A.23 		X
PA4394 	pp6382 		pp6382		MscS 		39 	small-conductance mechanosensitive ion channel 		1.A.23 		X
PA4925 	pp6382 		pp6382		MscS 		40 	small-conductance mechanosensitive ion channel 		1.A.23 		X
PA5022 	pp6382 		pp6382		MscS 		41 	small-conductance mechanosensitive ion channel 		1.A.23 		X
PA5121 	pp6382 		pp6382		MscS 		42 	small-conductance mechanosensitive ion channel 		1.A.23 		X
PA5251 	pp6382 		pp6382		MscS 		43 	small-conductance mechanosensitive ion channel 		1.A.23 		X
PA0215 	pp6382 		pp6382		MSS 		578 	sodium ion:malonate symporter 		2.A.70 		X
PA0216 	pp6382 		pp6382		MSS 		579 	sodium ion:malonate symporter 		2.A.70 		X
PA0681 	pp6382 		pp6382		MTB 		1055 	unknown substrate 		3.A.15 		X
PA0687 	pp6382 		pp6382		MTB 		1059 	unknown substrate 		3.A.15 		X
PA2675 	pp6382 		pp6382		MTB 		1063 	unknown substrate 		3.A.15 		X
PA2676 	pp6382 		pp6382		MTB 		1064 	unknown substrate 		3.A.15 		X
PA3097 	pp6382 		pp6382		MTB 		1067 	unknown substrate 		3.A.15 		X
PA3098 	pp6382 		pp6382		MTB 		1068 	unknown substrate 		3.A.15 		X
PA3099 	pp6382 		pp6382		MTB 		1069 	unknown substrate 		3.A.15 		X
PA3100 	pp6382 		pp6382		MTB 		1070 	unknown substrate 		3.A.15 		X
PA3101 	pp6382 		pp6382		MTB 		1071 	unknown substrate 		3.A.15 		X
PA3102 	pp6382 		pp6382		MTB 		1072 	unknown substrate 		3.A.15 		X
PA4525 	pp6382 		pp6382		MTB 		1077 	unknown substrate 		3.A.15 		X
PA4528 	pp6382 		pp6382		MTB 		1079 	unknown substrate 		3.A.15 		X
PA4549 	pp6382 		pp6382		MTB 		1080 	unknown substrate 		3.A.15 		X
PA4550 	pp6382 		pp6382		MTB 		1081 	unknown substrate 		3.A.15 		X
PA4556 	pp6382 		pp6382		MTB 		1082 	unknown substrate 		3.A.15 		X
