YBL089W 	ss6383 		ss6383		AAAP 		296 	amino acid 		2.A.18 		X
YMR203W 	ss6383 		ss6383		MPT 		812 	unknown substrate 		3.A.8 		X
YNL131W 	ss6383 		ss6383		MPT 		815 	unknown substrate 		3.A.8 		X
YNR017W 	ss6383 		ss6383		MPT 		817 	unknown substrate 		3.A.8 		X
YOR045W 	ss6383 		ss6383		MPT 		820 	unknown substrate 		3.A.8 		X
YPR133W_A 	ss6383 		ss6383		MPT 		824 	unknown substrate 		3.A.8 		X
YOR271C 	ss6383 		ss6383		MTC 		428 	tricarboxylates 		2.A.54 		X
YGR131W 	ss6383 		ss6383		NCPE 		1158 	unknown substrate 		9.A.27 		X
YJL205C 	ss6383 		ss6383		NCPE 		1159 	unknown substrate 		9.A.27 		X
YPR149W 	ss6383 		ss6383		NCPE 		1160 	unknown substrate 		9.A.27 		X
YBL042C 	ss6383 		ss6383		NCS1 		383 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
YBR021W 	ss6383 		ss6383		NCS1 		384 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
YER056C 	ss6383 		ss6383		NCS1 		385 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
YER060W 	ss6383 		ss6383		NCS1 		386 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
YER060W_A 	ss6383 		ss6383		NCS1 		387 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
YGL186C 	ss6383 		ss6383		NCS1 		388 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
YIR028W 	ss6383 		ss6383		NCS1 		389 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
YLR237W 	ss6383 		ss6383		NCS1 		390 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
YOR071C 	ss6383 		ss6383		NCS1 		391 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
YOR192C 	ss6383 		ss6383		NCS1 		392 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
YHR050W 	ss6383 		ss6383		Nramp 		429 	manganese/iron ion 		2.A.55 		X
YLR034C 	ss6383 		ss6383		Nramp 		430 	manganese/iron ion 		2.A.55 		X
YOL122C 	ss6383 		ss6383		Nramp 		431 	manganese/iron ion 		2.A.55 		X
YPL094C 	ss6383 		ss6383		NSCC2 		22 	preprotein translocase Sec62 		1.A.15 		X
YGL114W 	ss6383 		ss6383		OPT 		464 	oligopeptide 		2.A.67 		X
YJL212C 	ss6383 		ss6383		OPT 		465 	oligopeptide 		2.A.67 		X
YPR194C 	ss6383 		ss6383		OPT 		466 	oligopeptide 		2.A.67 		X
YER154W 	ss6383 		ss6383		Oxa1 		489 	60 KD inner membrane protein OxaA homolog 		2.A.9 		X
YGR062C 	ss6383 		ss6383		Oxa1 		490 	60 KD inner membrane protein OxaA homolog 		2.A.9 		X
YAL026C 	ss6383 		ss6383		P-ATPase 		764 	phospholipid 		3.A.3 		X
YBR295W 	ss6383 		ss6383		P-ATPase 		765 	copper ion 		3.A.3 		X
YDR038C 	ss6383 		ss6383		P-ATPase 		766 	potassium/sodium ion 		3.A.3 		X
YDR039C 	ss6383 		ss6383		P-ATPase 		767 	potassium/sodium ion 		3.A.3 		X
YDR040C 	ss6383 		ss6383		P-ATPase 		768 	potassium/sodium ion 		3.A.3 		X
YDR093W 	ss6383 		ss6383		P-ATPase 		769 	phospholipid 		3.A.3 		X
YDR270W 	ss6383 		ss6383		P-ATPase 		770 	zinc/cadmium/cobalt ion 		3.A.3 		X
YEL031W 	ss6383 		ss6383		P-ATPase 		771 	calcium ion 		3.A.3 		X
YER166W 	ss6383 		ss6383		P-ATPase 		772 	phospholipid 		3.A.3 		X
YGL006W 	ss6383 		ss6383		P-ATPase 		773 	calcium ion 		3.A.3 		X
YGL008C 	ss6383 		ss6383		P-ATPase 		774 	plasma proton 		3.A.3 		X
YGL167C 	ss6383 		ss6383		P-ATPase 		775 	calcium ion/manganese ion 		3.A.3 		X
YIL048W 	ss6383 		ss6383		P-ATPase 		777 	phospholipid 		3.A.3 		X
YMR162C 	ss6383 		ss6383		P-ATPase 		778 	phospholipid 		3.A.3 		X
YOR291W 	ss6383 		ss6383		P-ATPase 		779 	calcium ion 		3.A.3 		X
YPL036W 	ss6383 		ss6383		P-ATPase 		780 	plasma proton 		3.A.3 		X
YBR296C 	ss6383 		ss6383		PiT 		308 	phosphate 		2.A.20 		X
YKR093W 	ss6383 		ss6383		POT 		293 	proton:dipeptide/tripeptide symporter 		2.A.17 		X
YDR329C 	ss6383 		ss6383		PPI2 		1148 	lead uptake 		9.A.17 		X
YKL100C 	ss6383 		ss6383		Presenilin 		46 	archaeal calcium ion channel (Presenilin homolog) 		1.A.54 		X
YPL006W 	ss6383 		ss6383		RND 	EST 	456 	Patched (Ptc) segmentation polarity protein homolog 		2.A.6 		X
YHL016C 	ss6383 		ss6383		SSS 		309 	sodium ion:proline symporter 		2.A.21 		X
YBR294W 	ss6383 		ss6383		SulP 		423 	sulfate 		2.A.53 		X
YGR125W 	ss6383 		ss6383		SulP 		424 	sulfate 		2.A.53 		X
YLR092W 	ss6383 		ss6383		SulP 		425 	sulfate 		2.A.53 		X
YPR003C 	ss6383 		ss6383		SulP 		427 	sulfate 		2.A.53 		X
YPL092W 	ss6383 		ss6383		TDT 		291 	tellurite 		2.A.16 		X
YJL107C 	ss6383 		ss6383		ThrE 		484 	unknown substrate 		2.A.79 		X
YJL108C 	ss6383 		ss6383		ThrE 		485 	unknown substrate 		2.A.79 		X
YJL129C 	ss6383 		ss6383		Trk 		381 	potassium ion uptake 		2.A.38 		X
YKR050W 	ss6383 		ss6383		Trk 		382 	potassium ion uptake 		2.A.38 		X
YKL020C 	ss6383 		ss6383		TRP-CC 		970 	transient receptor potential calcium ion channel 		1.A.4 		X
YOR087W 	ss6383 		ss6383		TRP-CC 		43 	transient receptor potential calcium ion channel 		1.A.4 		X
YMR034C 	ss6383 		ss6383		UBS1 		492 	sodium ion/ 		9.A.43 		X
YGR217W 	ss6383 		ss6383		VIC 		4 	potassium ion channel 		1.A.1 		X
YJL093C 	ss6383 		ss6383		VIC 		11 	potassium ion channel 		1.A.1 		X
YLR220W 	ss6383 		ss6383		VIT 		488 	vacuolar iron uptake transporter homolog 		2.A.89 		X
YDL149W 	ss6383 		ss6383		YhaG 		1050 	tryptophan uptake 		9.A.15 		X
YGL255W 	ss6383 		ss6383		ZIP 		416 	zinc ion 		2.A.5 		X
YIL023C 	ss6383 		ss6383		ZIP 		417 	zinc ion 		2.A.5 		X
YKL175W 	ss6383 		ss6383		ZIP 		418 	zinc ion 		2.A.5 		X
YLR130C 	ss6383 		ss6383		ZIP 		419 	zinc ion 		2.A.5 		X
YOR079C 	ss6383 		ss6383		ZIP 		420 	zinc ion 		2.A.5 		X
