OSTLU_2522 	oo6384 		oo6384		AAA 		343 	ADP:ATP antiporter 		2.A.12 		X
OSTLU_87422 	oo6384 		oo6384		MFS 		339 	multidrug efflux 		2.A.1 		X
OSTLU_93385 	oo6384 		oo6384		MFS 		340 	multidrug efflux 		2.A.1 		X
OSTLU_94272 	oo6384 		oo6384		MFS 		341 	sodium ion:phosphate symporter 		2.A.1 		X
OSTLU_94723 	oo6384 		oo6384		MFS 		342 	multidrug efflux 		2.A.1 		X
OSTLU_25291 	oo6384 		oo6384		MIP 		208 	glycerol uptake 		1.A.8 		X
OSTLU_32899 	oo6384 		oo6384		MIT 		73 	magnesium/cobalt ion 		1.A.35 		X
OSTLU_40656 	oo6384 		oo6384		MIT 		74 	magnesium/cobalt ion 		1.A.35 		X
OSTLU_16054 	oo6384 		oo6384		MOP 	MATE 	573 	multidrug efflux 		2.A.66 		X
OSTLU_16871 	oo6384 		oo6384		MOP 	MATE 	574 	multidrug efflux 		2.A.66 		X
OSTLU_27967 	oo6384 		oo6384		MOP 	MATE 	575 	multidrug efflux 		2.A.66 		X
OSTLU_28091 	oo6384 		oo6384		MOP 	MATE 	576 	multidrug efflux 		2.A.66 		X
OSTLU_28350 	oo6384 		oo6384		MOP 	MATE 	577 	multidrug efflux 		2.A.66 		X
OSTLU_2943 	oo6384 		oo6384		MOP 	MATE 	578 	multidrug efflux 		2.A.66 		X
OSTLU_30385 	oo6384 		oo6384		MOP 	MATE 	579 	multidrug efflux 		2.A.66 		X
OSTLU_31014 	oo6384 		oo6384		MOP 	MATE 	580 	multidrug efflux 		2.A.66 		X
OSTLU_31069 	oo6384 		oo6384		MOP 		581 	multidrug efflux 		2.A.66 		X
OSTLU_31926 	oo6384 		oo6384		MOP 	MATE 	582 	multidrug efflux 		2.A.66 		X
OSTLU_3441 	oo6384 		oo6384		MOP 	MATE 	583 	multidrug efflux 		2.A.66 		X
OSTLU_47105 	oo6384 		oo6384		MOP 	MATE 	584 	multidrug efflux 		2.A.66 		X
OSTLU_87197 	oo6384 		oo6384		MOP 	MATE 	585 	multidrug efflux 		2.A.66 		X
OSTLU_13482 	oo6384 		oo6384		MPT 		1081 	inner membrane translocase (import) Tim10 		3.A.8 		X
OSTLU_29100 	oo6384 		oo6384		MPT 		1087 	inner membrane translocase (import) Tim17 		3.A.8 		X
OSTLU_33906 	oo6384 		oo6384		MPT 		1094 	inner membrane translocase (import) Tim10 		3.A.8 		X
OSTLU_42709 	oo6384 		oo6384		MPT 		1099 	inner membrane translocase (import) Tim10 		3.A.8 		X
OSTLU_7704 	oo6384 		oo6384		MPT 		1103 	inner membrane translocase (import) Tim17 		3.A.8 		X
OSTLU_7965 	oo6384 		oo6384		MPT 		1105 	unknown substrate 		3.A.8 		X
OSTLU_93853 	oo6384 		oo6384		MPT 		1107 	inner membrane translocase (import) Tim17 		3.A.8 		X
OSTLU_94294 	oo6384 		oo6384		MPT 		1108 	inner membrane translocase (import) Tim17 		3.A.8 		X
OSTLU_29320 	oo6384 		oo6384		MscS 		65 	small-conductance mechanosensitive ion channel 		1.A.23 		X
OSTLU_30945 	oo6384 		oo6384		MscS 		66 	small-conductance mechanosensitive ion channel 		1.A.23 		X
OSTLU_31666 	oo6384 		oo6384		MscS 		67 	small-conductance mechanosensitive ion channel 		1.A.23 		X
OSTLU_24245 	oo6384 		oo6384		NCS1 		476 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
OSTLU_49824 	oo6384 		oo6384		NCS1 		477 	cytosine/purines/uracil/thiamine/allantoin 		2.A.39 		X
OSTLU_4221 	oo6384 		oo6384		NhaA 		464 	sodium ion:proton antiporter 		2.A.33 		X
OSTLU_27409 	oo6384 		oo6384		Nramp 		519 	manganese/iron ion 		2.A.55 		X
OSTLU_87529 	oo6384 		oo6384		NSCC2 		63 	preprotein translocase Sec62 		1.A.15 		X
OSTLU_3329 	oo6384 		oo6384		Oxa1 		642 	60 KD inner membrane protein OxaA homolog 		2.A.9 		X
OSTLU_3334 	oo6384 		oo6384		Oxa1 		643 	60 KD inner membrane protein OxaA homolog 		2.A.9 		X
OSTLU_40894 	oo6384 		oo6384		Oxa1 		644 	60 KD inner membrane protein OxaA homolog 		2.A.9 		X
OSTLU_1206 	oo6384 		oo6384		P-ATPase 		1045 	zinc/cadmium/cobalt ion 		3.A.3 		X
OSTLU_13063 	oo6384 		oo6384		P-ATPase 		1046 	zinc/cadmium/cobalt ion 		3.A.3 		X
OSTLU_14777 	oo6384 		oo6384		P-ATPase 		1047 	calcium ion 		3.A.3 		X
OSTLU_164 	oo6384 		oo6384		P-ATPase 		1049 	calcium ion 		3.A.3 		X
OSTLU_199 	oo6384 		oo6384		P-ATPase 		1050 	calcium ion 		3.A.3 		X
OSTLU_203 	oo6384 		oo6384		P-ATPase 		1051 	zinc/cadmium/cobalt ion 		3.A.3 		X
OSTLU_27426 	oo6384 		oo6384		P-ATPase 		1052 	zinc/cadmium/cobalt ion 		3.A.3 		X
OSTLU_29095 	oo6384 		oo6384		P-ATPase 		1053 	calcium ion 		3.A.3 		X
OSTLU_40728 	oo6384 		oo6384		P-ATPase 		1054 	calcium ion 		3.A.3 		X
OSTLU_41354 	oo6384 		oo6384		P-ATPase 		1055 	plasma proton 		3.A.3 		X
OSTLU_42210 	oo6384 		oo6384		P-ATPase 		1056 	plasma proton 		3.A.3 		X
OSTLU_43082 	oo6384 		oo6384		P-ATPase 		1057 	zinc/cadmium/cobalt ion 		3.A.3 		X
OSTLU_48492 	oo6384 		oo6384		P-ATPase 		1058 	sodium ion:potassium ion antiporter 		3.A.3 		X
OSTLU_49740 	oo6384 		oo6384		P-ATPase 		1059 	phospholipid 		3.A.3 		X
OSTLU_516 	oo6384 		oo6384		P-ATPase 		1060 	calcium ion 		3.A.3 		X
OSTLU_611 	oo6384 		oo6384		P-ATPase 		1062 	zinc/cadmium/cobalt ion 		3.A.3 		X
OSTLU_119536 	oo6384 		oo6384		PiT 		399 	phosphate 		2.A.20 		X
OSTLU_42057 	oo6384 		oo6384		PiT 		400 	phosphate 		2.A.20 		X
OSTLU_50811 	oo6384 		oo6384		POT 		381 	proton:dipeptide/tripeptide symporter 		2.A.17 		X
OSTLU_31074 	oo6384 		oo6384		Presenilin 		137 	archaeal calcium ion channel (Presenilin homolog) 		1.A.54 		X
OSTLU_46801 	oo6384 		oo6384		Presenilin 		138 	unknown substrate 		1.A.54 		X
OSTLU_5032 	oo6384 		oo6384		Presenilin 		139 	archaeal calcium ion channel (Presenilin homolog) 		1.A.54 		X
OSTLU_8510 	oo6384 		oo6384		Presenilin 		140 	unknown substrate 		1.A.54 		X
OSTLU_7690 	oo6384 		oo6384		RhtB 		1576 	amino acid efflux 		2.A.76 		X
OSTLU_27841 	oo6384 		oo6384		RND 	EST 	536 	Patched (Ptc) segmentation polarity protein homolog 		2.A.6 		X
OSTLU_29594 	oo6384 		oo6384		RND 	EST 	538 	Patched (Ptc) segmentation polarity protein homolog 		2.A.6 		X
OSTLU_29977 	oo6384 		oo6384		RND 	EST 	539 	Patched (Ptc) segmentation polarity protein homolog 		2.A.6 		X
OSTLU_33000 	oo6384 		oo6384		RND 	EST 	543 	Patched (Ptc) segmentation polarity protein homolog 		2.A.6 		X
OSTLU_86304 	oo6384 		oo6384		RND 	EST 	562 	Patched (Ptc) segmentation polarity protein homolog 		2.A.6 		X
OSTLU_119678 	oo6384 		oo6384		SSS 		401 	sodium ion:proline symporter 		2.A.21 		X
OSTLU_24399 	oo6384 		oo6384		SSS 		403 	sodium ion:proline symporter 		2.A.21 		X
OSTLU_26754 	oo6384 		oo6384		SSS 		404 	sodium ion:proline symporter 		2.A.21 		X
OSTLU_32829 	oo6384 		oo6384		SulP 		515 	sulfate 		2.A.53 		X
OSTLU_50753 	oo6384 		oo6384		SulP 		517 	sulfate 		2.A.53 		X
OSTLU_10686 	oo6384 		oo6384		Tat 		569 	protein export 		2.A.64 		X
OSTLU_43950 	oo6384 		oo6384		Tat 		571 	protein export 		2.A.64 		X
OSTLU_9857 	oo6384 		oo6384		Tat 		572 	protein export 		2.A.64 		X
OSTLU_16000 	oo6384 		oo6384		TerC 		1472 	tellurium ion efflux 		9.A.30 		X
OSTLU_27614 	oo6384 		oo6384		TerC 		1473 	tellurium ion efflux 		9.A.30 		X
OSTLU_31288 	oo6384 		oo6384		TRIC 		142 	unknown substrate 		1.A.62 		X
OSTLU_16085 	oo6384 		oo6384		UBS1 		649 	unknown substrate 		9.A.43 		X
OSTLU_16088 	oo6384 		oo6384		UBS1 		650 	unknown substrate 		9.A.43 		X
OSTLU_33387 	oo6384 		oo6384		UBS1 		652 	sodium ion/ 		9.A.43 		X
OSTLU_3803 	oo6384 		oo6384		UBS1 		653 	sodium ion/ 		9.A.43 		X
OSTLU_13647 	oo6384 		oo6384		VIC 		3 	potassium ion channel 		1.A.1 		X
OSTLU_16877 	oo6384 		oo6384		VIC 		6 	potassium ion channel 		1.A.1 		X
OSTLU_18703 	oo6384 		oo6384		VIC 		8 	potassium ion channel 		1.A.1 		X
OSTLU_28283 	oo6384 		oo6384		VIC 		14 	potassium ion channel 		1.A.1 		X
OSTLU_28616 	oo6384 		oo6384		VIC 		15 	potassium ion channel 		1.A.1 		X
OSTLU_31611 	oo6384 		oo6384		VIC 		20 	potassium ion channel 		1.A.1 		X
OSTLU_32140 	oo6384 		oo6384		VIC 		22 	potassium ion channel 		1.A.1 		X
OSTLU_41153 	oo6384 		oo6384		VIC 		31 	potassium ion channel 		1.A.1 		X
OSTLU_43813 	oo6384 		oo6384		VIC 		36 	potassium ion channel 		1.A.1 		X
OSTLU_45407 	oo6384 		oo6384		VIC 		37 	potassium ion channel 		1.A.1 		X
OSTLU_7186 	oo6384 		oo6384		VIC 		41 	potassium ion channel 		1.A.1 		X
OSTLU_7925 	oo6384 		oo6384		VIC 		43 	potassium ion channel 		1.A.1 		X
OSTLU_86010 	oo6384 		oo6384		VIC 		45 	potassium ion channel 		1.A.1 		X
OSTLU_88568 	oo6384 		oo6384		VIC 		48 	potassium ion channel 		1.A.1 		X
OSTLU_94483 	oo6384 		oo6384		VIC 		55 	potassium ion channel 		1.A.1 		X
OSTLU_7084 	oo6384 		oo6384		VIT 		641 	vacuolar iron uptake transporter homolog 		2.A.89 		X
OSTLU_10630 	oo6384 		oo6384		YggT 		1474 	unknown substrate 		9.A.4 		X
OSTLU_41246 	oo6384 		oo6384		YggT 		1476 	unknown substrate 		9.A.4 		X
OSTLU_38402 	oo6384 		oo6384		YhaG 		1417 	tryptophan uptake 		9.A.15 		X
OSTLU_18031 	oo6384 		oo6384		ZIP 		504 	zinc ion 		2.A.5 		X
OSTLU_25431 	oo6384 		oo6384		ZIP 		505 	zinc ion 		2.A.5 		X
OSTLU_27457 	oo6384 		oo6384		ZIP 		506 	zinc ion 		2.A.5 		X
OSTLU_27890 	oo6384 		oo6384		ZIP 		507 	zinc ion 		2.A.5 		X
OSTLU_29694 	oo6384 		oo6384		ZIP 		508 	zinc ion 		2.A.5 		X
OSTLU_42358 	oo6384 		oo6384		ZIP 		509 	zinc ion 		2.A.5 		X
OSTLU_86026 	oo6384 		oo6384		ZIP 		510 	zinc ion 		2.A.5 		X
OSTLU_89316 	oo6384 		oo6384		ZIP 		511 	zinc ion 		2.A.5 		X
